PeriodDate,ModelName,ActualValue,ForecastValue
2024-08-01,Naive,497,419
2024-08-01,SeasonalNaive,497,448
2024-08-01,HoltsBest,497,427.2
2024-09-01,Naive,504,497
2024-09-01,SeasonalNaive,504,446
2024-09-01,HoltsBest,504,505.5
2024-10-01,Naive,506,504
2024-10-01,SeasonalNaive,506,447
2024-10-01,HoltsBest,506,519.4
2024-11-01,Naive,449,506
2024-11-01,SeasonalNaive,449,424
2024-11-01,HoltsBest,449,520.8
2024-12-01,Naive,431,449
2024-12-01,SeasonalNaive,431,423
2024-12-01,HoltsBest,431,460.0
2025-01-01,Naive,430,431
2025-01-01,SeasonalNaive,430,432
2025-01-01,HoltsBest,430,433.8
2025-02-01,Naive,423,430
2025-02-01,SeasonalNaive,423,401
2025-02-01,HoltsBest,423,429.7
2025-03-01,Naive,433,423
2025-03-01,SeasonalNaive,433,407
2025-03-01,HoltsBest,433,422.1
2025-04-01,Naive,429,433
2025-04-01,SeasonalNaive,429,394
2025-04-01,HoltsBest,429,431.8
2025-05-01,Naive,458,429
2025-05-01,SeasonalNaive,458,413
2025-05-01,HoltsBest,458,428.8
2025-06-01,Naive,456,458
2025-06-01,SeasonalNaive,456,433
2025-06-01,HoltsBest,456,458.6
2025-07-01,Naive,504,456
2025-07-01,SeasonalNaive,504,419
2025-07-01,HoltsBest,504,459.4
2025-08-01,Naive,529,504
2025-08-01,SeasonalNaive,529,497
2025-08-01,HoltsBest,529,508.7
2025-09-01,Naive,520,529
2025-09-01,SeasonalNaive,520,504
2025-09-01,HoltsBest,520,538.9
2025-10-01,Naive,575,520
2025-10-01,SeasonalNaive,575,506
2025-10-01,HoltsBest,575,531.2
2025-11-01,Naive,541,575
2025-11-01,SeasonalNaive,541,449
2025-11-01,HoltsBest,541,585.9
2025-12-01,Naive,538,541
2025-12-01,SeasonalNaive,538,431
2025-12-01,HoltsBest,538,554.7
2026-01-01,Naive,478,538
2026-01-01,SeasonalNaive,478,430
2026-01-01,HoltsBest,478,546.6
2026-02-01,Naive,459,478
2026-02-01,SeasonalNaive,459,423
2026-02-01,HoltsBest,459,482.5
2026-03-01,Naive,461,459
2026-03-01,SeasonalNaive,461,433
2026-03-01,HoltsBest,461,455.9
2026-04-01,Naive,470,461
2026-04-01,SeasonalNaive,470,429
2026-04-01,HoltsBest,470,455.7
2026-05-01,Naive,502,470
2026-05-01,SeasonalNaive,502,458
2026-05-01,HoltsBest,502,465.7
2026-06-01,Naive,518,502
2026-06-01,SeasonalNaive,518,456
2026-06-01,HoltsBest,518,500.4
